id_transaksi,jenis_item,jumlah,tanggal pembelian,nama_customer,total
133889.0,Alat Tulis,1,1/1/2010,Stacy Campos,120000.0
133889.0,Buku Sejarah,1,1/1/2010,Stacy Campos,150000.0
133889.0,Buku Anak-Anak,2,1/1/2010,Stacy Campos,400000.0
133889.0,Majalah Fashion,1,1/1/2010,Stacy Campos,130000.0
133889.0,Majalah Berita,2,1/1/2010,Stacy Campos,600000.0
133889.0,Buku Fiksi,3,1/1/2010,Stacy Campos,1170000.0
133889.0,Novel Romansa,2,1/1/2010,Stacy Campos,600000.0
133890.0,Alat Tulis,1,3/3/2010,Natasha Sims,130000.0
133890.0,Majalah Seni,1,3/3/2010,Natasha Sims,50000.0
133890.0,Majalah Berita,2,5/1/2010,Natasha Sims,480000.0
133890.0,Buku Biografi,2,5/1/2010,Natasha Sims,100000.0
133890.0,Novel Romansa,2,5/1/2010,Natasha Sims,40000.0
133890.0,Aksesoris Buku,4,5/1/2010,Natasha Sims,960000.0
133891.0,Novel Fiksi Ilmiah,4,5/1/2010,Kimberly Park,400000.0
133891.0,Majalah Berita,2,5/1/2010,Kimberly Park,80000.0
133891.0,Novel Misteri,1,5/1/2010,Kimberly Park,130000.0
133891.0,Majalah Fashion,3,5/1/2010,Kimberly Park,60000.0
133892.0,Buku Anak-Anak,2,5/1/2010,Jonathan Edwards,100000.0
133892.0,Majalah Seni,1,5/1/2010,Jonathan Edwards,20000.0
133892.0,Novel Fiksi Ilmiah,2,5/1/2010,Jonathan Edwards,80000.0
133892.0,Buku Fiksi,5,5/1/2010,Jonathan Edwards,2750000.0
133892.0,Aksesoris Buku,7,6/27/2010,Jonathan Edwards,2450000.0
133893.0,Alat Tulis,2,6/27/2010,Tiffany Cline,400000.0
133893.0,Buku Sejarah,1,6/27/2010,Tiffany Cline,100000.0
133893.0,Buku Anak-Anak,1,6/27/2010,Tiffany Cline,130000.0
133893.0,Majalah Fashion,5,8/20/2010,Tiffany Cline,500000.0
133893.0,Majalah Seni,4,10/29/2010,Tiffany Cline,1920000.0
133893.0,Majalah Berita,6,10/29/2010,Tiffany Cline,3240000.0
133893.0,Novel Romansa,7,10/29/2010,Tiffany Cline,140000.0
